Tag ou Atributo;Nome Completo
EnvoRlcCncd;EnvioRelacaoCancelamento
CnpjOgm;CnpjOrigem
NmOgm;NomeOrigem
NrRms;NumeroRemessa
SeqlRms;SequencialRemessa
DtRms;DataRemessa
Cli;Cliente
TipCli;TipoCliente
IdfcCli;Identificacao
CdEstCli;CódigoStatusCliente
TsCnct;DataHoraCancelamentoReabertura
CnpjGstCnct;CnpjGestorCancelamentoReabertura 
EnvoCad;EnvioCadastro
CnpjOgm;CnpjOrigem
NmOgm;NomeOrigem
NrRms;NumeroRemessa
SeqlRms;SequencialRemessa
DtRms;DataRemessa
Cli;Cliente
TipCli;TipoCliente
IdfcCli;Identificacao
NmCli;NomeCliente
EndCli;EnderecoCliente
LgrEndCli;LogradouroEnderecoCliente
NrEndCli;NúmeroEndereço                                                                     
CmptEndCli;ComplementoEnderecoCliente
BaiEndCli;BairroEnderecoCliente
CepEndCli;CEPEnderecoCliente
MunEndCli;MunicipioEnderecoCliente
UfEndCli;UFEnderecoCliente
TelCli;TelefoneCliente
DddTelCli;DDDTelefoneCliente
NrTelCli;NumeroTelefoneCliente
EndEtnCli;EnderecoEletronicoCliente
EmaiCli;EmailCliente
RtnCfg;RetornoConfiguracao
CnpjGbd;CnpjGestorBD
CnpjIf;CnpjFonte
NrRms;NumeroRemessa
SeqlRms;SequencialRemessa
DtRms;DataRemessa
CdOcr;CodigoOcorrencia
Ppl;Principal
CdOcrPpl;CodigoOcorrenciaPrincipal
CttPpl;ContatoPrincipal
NmCttPpl;NomeContatoPrincipal
CdOcrCttPpl;CodigoOcorrenciaContatoPrincipal
AtdtCsmoPpl;AtendimentoConsumidorPrincipal
DptAtdtCsmoPpl;DepartamentoAtendimentoConsumidorPrincipal
CdOcrAtdtCsmoPpl;CodigoOcorrenciaAtendimentoConsumidorPrincipal
AutdLmnrPpl;AutorizadoLiminarPrincipal
CpfAutdLmnrPpl;CpfAutorizadoLiminarPrincipal
CdOcrAutdLmnrPpl;CodigoOcorrenciaAutorizadoLiminarPrincipal
Prtc;Participante
CnpjPct;CnpjParticipante
CdOcrPct;CodigoOcorrenciaParticipante
CttPct;ContatoParticipante
NmCttPct;NomeContatoParticipante
CdOcrCttPct;CodigoOcorrenciaContatoParticipante
AtdtCsmoPct;AtendimentoConsumidorParticipante
DptAtdtCsmoPct;DepartamentoAtendimentoConsumidorParticipante
CdOcrAtdtCsmoPct;CodigoOcorrenciaAtendimentoConsumidorParticipante
AutdLmnrPct;AutorizadoLiminarParticipante
CpfAutdLmnrPct;CpfAutorizadoLiminarParticipante
CdOcrAutdLmnrPct;CodigoOcorrenciaAutorizadoLiminarParticipante
Prmz;Parametrizacao
CdOcrPrmz;CodigoOcorrenciaParametrizacao
EnvoCfg;EnvioConfiguracao
CnpjIf;CnpjFonte
CnpjGbd;CnpjGestorBD
NrRms;NumeroRemessa
SeqlRms;SequencialRemessa
DtRms;DataRemessa
Ppl;Principal
NmPpl;NomePrincipal
CnpjPpl;CnpjPrincipal
SitePpl;SitePrincipal
EndPpl;EnderecoPrincipal
LgrEndPpl;LogradouroEnderecoPrincipal
CmptEndPpl;ComplementoEnderecoPrincipal
BaiEndPpl;BairroEnderecoPrincipal
CepEndPpl;CEPEnderecoPrincipal
MunEndPpl;MunicipioEnderecoPrincipal
UfEndPpl;UFEnderecoPrincipal
CttPpl;ContatoPrincipal
NmCttPpl;NomeContatoPrincipal
DptCttPpl;DepartamentoContatoPrincipal
CrgCttPpl;CargoContatoPrincipal
DddTelCtt|Ppl;DDDTelefoneContatoPrincipal
NrTelCttPpl;NúmeroTelefoneContatoPrincipal
RmalTelCttPpl;RamalTelefoneContatoPrincipal
EmaiCttPpl;EmailContatoPrincipal
